# Temporary.  List of images names, the storage account sub-path for each one, and the list of storage accounts that,,,,,
# contain the image.,,,,,,,
# Format:,,,,,,,
# Image Name,Labels,Storage Account Sub Path,Semi-colon delimited list of storage accounts, or All for all storage accounts in StorageAccounts.txt,,,
ImageName,Labels,OSType,Container,BlobName,StorageAccounts,StartupScriptPath,AgentWorkspace
centos71-20170216,centos71-20170216,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20170905-osDisk.d6bde4fb-cf0d-4894-8523-b20c1e8c5a31.vhd,All,./startupScripts/centos71-20170216.sh,/mnt/resource/j
centos71-20170216-outer,centos71-20170216-outer,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20170905-osDisk.d6bde4fb-cf0d-4894-8523-b20c1e8c5a31.vhd,All,./startupScripts/centos71-20170216-outer.sh,/mnt/resource/j
centos71-20170926,centos71-20170926,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20170926-osDisk.216c7f19-11c6-4829-95ac-19e684844ad7.vhd,All,./startupScripts/centos71-20170926.sh,/mnt/resource/j
centos71-20170926-outer,centos71-20170926-outer,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20170926-osDisk.216c7f19-11c6-4829-95ac-19e684844ad7.vhd,All,./startupScripts/centos71-20170926-outer.sh,/mnt/resource/j
centos71-20171005,centos71-20171005,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20171005-osDisk.d9393456-eb1f-465a-ad48-38f3b4b0a144.vhd,All,./startupScripts/centos71-20171005.sh,/mnt/resource/j
centos71-20171005-outer,centos71-20171005-outer,Linux,system,Microsoft.Compute/Images/dotnetci/centos71-20171005-osDisk.d9393456-eb1f-465a-ad48-38f3b4b0a144.vhd,All,./startupScripts/centos71-20171005-outer.sh,/mnt/resource/j
deb82-20160323,auto-deb82-20160323,Linux,system,Microsoft.Compute/Images/dotnetci/deb82-20170829-osDisk.10405edc-6adb-4b59-9082-925a1b7c21fb.vhd,All,./startupScripts/deb82-20160323.sh,/mnt/resource/j
deb84-20170214,deb84-20170214,Linux,system,Microsoft.Compute/Images/dotnetci/deb84-20170829-osDisk.398a74ca-2f9a-4cf9-ae25-005580cfe03f.vhd,All,./startupScripts/deb84-20170214.sh,/mnt/resource/j
deb84-20170214-outer,deb84-20170214-outer,Linux,system,Microsoft.Compute/Images/dotnetci/deb84-20170829-osDisk.398a74ca-2f9a-4cf9-ae25-005580cfe03f.vhd,All,./startupScripts/deb84-20170214-outer.sh,/mnt/resource/j
deb84-20170925,deb84-20170214,Linux,system,Microsoft.Compute/Images/dotnetci/deb84-20170925-osDisk.fd80fa6f-5c3d-4af2-b6b5-df7a5f339dd2.vhd,All,./startupScripts/deb84-20170925.sh,/mnt/resource/j
deb84-20170925-outer,deb84-20170214-outer,Linux,system,Microsoft.Compute/Images/dotnetci/deb84-20170925-osDisk.fd80fa6f-5c3d-4af2-b6b5-df7a5f339dd2.vhd,All,./startupScripts/deb84-20170925-outer.sh,/mnt/resource/j
fedora24-20170420,fedora24-20170420,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20170831-osDisk.f67856bc-6a04-4ba7-a699-801d87929ad7.vhd,All,./startupScripts/fedora24-20170420.sh,/mnt/resource/j
fedora24-20170420-outer,fedora24-20170420-outer,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20170831-osDisk.f67856bc-6a04-4ba7-a699-801d87929ad7.vhd,All,./startupScripts/fedora24-20170420-outer.sh,/mnt/resource/j
fedora24-20170926,fedora24-20170926,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20170926-osDisk.2eda4ad9-2804-4719-812c-d511511a4e3c.vhd,All,./startupScripts/fedora24-20170926.sh,/mnt/resource/j
fedora24-20170926-outer,fedora24-20170926-outer,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20170926-osDisk.2eda4ad9-2804-4719-812c-d511511a4e3c.vhd,All,./startupScripts/fedora24-20170926-outer.sh,/mnt/resource/j
fedora24-20171005,fedora24-20171005,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20171005-osDisk.c6b65138-706d-4b4b-95e0-b4d59aad329c.vhd,All,./startupScripts/fedora24-20171005.sh,/mnt/resource/j
fedora24-20171005-outer,fedora24-20171005-outer,Linux,system,Microsoft.Compute/Images/dotnetci/fedora24-20171005-osDisk.c6b65138-706d-4b4b-95e0-b4d59aad329c.vhd,All,./startupScripts/fedora24-20171005-outer.sh,/mnt/resource/j
rhel72-20160412-1-outer,auto-rhel72-20160412.1outer,Linux,system,Microsoft.Compute/Images/dotnetci/rhel72-20170907-osDisk.cf03da2a-8b9f-4549-baec-8ef51bbbc2ec.vhd,All,./startupScripts/rhel72-20160412-1-outer.sh,/mnt/resource/j
rhel72-20170525,auto-rhel72-20170525,Linux,system,Microsoft.Compute/Images/dotnetci/rhel72-20170907-osDisk.e4b91bf7-64cc-4dda-85e3-c4a8cf438188.vhd,All,./startupScripts/rhel72-20170525.sh,/mnt/resource/j
